crm_id,contcode,contcat
1559056674,,
2827154834,,
551329474,,
891404074,,
3078814423,,
1974927921,,
3843631627,,
4218928067,,
3848756484,,
541814424,,
2841908121,,
3331123545,,
4172773472,,
3594353977,,
624408225,,
742155958,,
622399218,,
2205330820,,
2374591234,,
1910482189,BBA,AH
645662424,FER,AH
2892075531,FER,AH
2751211869,FER,AH
1708891228,FER,AH
2105547678,FER,AH
2961018758,FER,AH
4107594304,FER,AH
14401939,FER,AH
1923872191,FER,AH
1930037295,FER,AH
94051147,FER,AH
624102766,FER,AH
3579933842,FER,AH
4033158738,FER,AH
3122872267,FER,AH
3504683351,CMO,AO
1270567237,CMO,AO
1243814073,CMO,AO
2461358249,CMO,AO
3732722686,CMO,AO
1320464494,CMO,AO
3176236968,CMO,AO
727450398,CMO,AO
833995705,CMO,AO
2786443023,CMO,AO
2055841606,CMO,AO
2465037483,CMO,AO
684702904,CMO,AO
297773936,CMO,AO
1327966569,CMO,AO
4129677539,CMO,AO
546562322,CMO,AO
288425633,CMO,AO
1801001430,CMO,AO
3506328719,CMO,AO
2272879734,CMO,AO
2202927312,CMO,AO
3184962179,CMO,AO
3784906192,CMO,AO
2189627681,CMO,AO
1946175873,CMO,AO
3392643252,CMO,AO
1912091354,CMO,AO
264845660,CMO,AO
154599701,CMO,AO
1561635667,CMO,AO
201079239,CMO,AO
1027529286,CMO,AO
3978295834,CMO,AO
2680016793,CMO,AO
2587658399,CMO,AO
805727950,CMO,AO
4163504979,CMO,AO
3492153304,CMO,AO
1449261783,CMO,AO
4201200359,CMO,AO
3138183777,CMO,AO
1443937064,CMO,AO
2058327232,CMO,AO
2611616028,CMO,AO
3948417145,CMO,AO
2563788030,CMO,AO
1412534560,CMO,AO
2688519252,CMO,AO
3847372951,CMO,AO
47268450,CMO,AO
1387651722,CMO,AO
3644631499,CMO,AO
3282874585,CMO,AO
482659268,CMO,AO
564002765,CMO,AO
1912061144,CMO,AO
213417397,CMO,AO
2622571766,CMO,AO
1652437361,CMO,AO
1314672020,CMO,AO
3500522407,CMO,AO
157674628,CMO,AO
268533363,CMO,AO
3676150301,CMO,AO
2742457021,CMO,AO
1151678555,CMO,AO
2423321739,CMO,AO
2715721543,CMO,AO
3079920035,CMO,AO
4146525180,CMO,AO
2946514983,CMO,AO
2436873641,CMO,AO
4000932361,CMO,AO
2520923648,CMO,AO
3550397843,CMO,AO
3487394378,CMO,AO
1452800780,CMO,AO
861713447,CMO,AO
2430684793,CMO,AO
168791905,CMO,AO
1134075995,CMO,AO
2858777224,CMO,AO
3897211101,CMO,AO
4261858533,CMO,AO
3900865422,CMO,AO
3214445352,CMO,AO
1368969829,CMO,AO
3162895750,CMO,AO
1454246931,CMO,AO
64796320,CMO,AO
1105457448,CMO,AO
117734654,CMO,AO
3585159417,CMO,AO
3605962208,CMO,AO
3345181456,CMO,AO
584279807,CMO,AO
442795098,CMO,AO
736902831,CMO,AO
2923658908,CMO,AO
2279101872,CMO,AO
1525465259,CMO,AO
381297169,CMO,AO
2282148731,CMO,AO
2440071164,CMO,AO
3263355136,CMO,AO
3795394797,CMO,AO
44942300,CMO,AO
3008000081,CMO,AO
1712387787,CMO,AO
4073960403,CMO,AO
725460966,CMO,AO
3015873701,CMO,AO
4044931485,CMO,AO
4201181875,CMO,AO
3398549547,CMO,AO
2606136155,CMO,AO
1017131641,CMO,AO
2505616035,CMO,AO
59175882,CMO,AO
3747948973,CMO,AO
1027428758,CMO,AO
3544270588,CMO,AO
536974393,CMO,AO
1616710062,CMO,AO
3353837526,CMO,AO
1719842998,CMO,AO
3072757940,CMO,AO
4193347666,CMO,AO
1713390866,CMO,AO
2239143476,CMO,AO
1555129530,CMO,AO
3816775614,CMO,AO
1293585678,CMO,AO
1233051352,CMO,AO
2947073223,CMO,AO
3247398449,CMO,AO
3420836363,CMO,AO
2332034899,CMO,AO
184011741,CMO,AO
2219378123,CMO,AO
13756612,CMO,AO
3362230633,CMO,AO
892100947,CMO,AO
3833595861,CMO,AO
2631208492,CMO,AO
1752635908,CMO,AO
1837725928,CMO,AO
3021306692,CMO,AO
802821441,CMO,AO
2476300848,CMO,AO
388638165,CMO,AO
1562195292,CMO,AO
2279868065,CMO,AO
1381907539,CMO,AO
862820957,CMO,AO
747533230,CMO,AO
554316300,CMO,AO
1096876570,CMO,AO
3150408933,CMO,AO
3158528440,CMO,AO
2366530486,CMO,AO
1899367382,CMO,AO
2767702964,CMO,AO
2975857922,CMO,AO
2085499009,CMO,AO
1656877483,CMO,AO
993398733,CMO,AO
1131267269,CMO,AO
578622224,CMO,AO
2759108098,CMO,AO
3756529843,CMO,AO
3581362532,CMO,AO
604791888,CMO,AO
2695535728,CMO,AO
945558966,CMO,AO
256945918,CMO,AO
3886594167,CMO,AO
167422842,CMO,AO
2774669463,CMO,AO
1545909896,CMO,AO
3280271793,CMO,AO
475104434,CMO,AO
1336865718,CMO,AO
177713237,CMO,AO
539615045,CMO,AO
1919315079,CMO,AO
1924928804,CMO,AO
3334130235,CMO,AO
2578444446,CMO,AO
252493772,CMO,AO
2867762359,CMO,AO
1010257303,CMO,AO
1831569863,CMO,AO
4049424084,CMO,AO
2911207025,CMO,AO
2990264304,CMO,AO
1667772288,CMO,AO
844635077,CMO,AO
3182518079,CMO,AO
2104420016,CMO,AO
2599322276,CMO,AO
2610044865,CMO,AO
4138508299,CMO,AO
2514764656,CMO,AO
2805959213,CMO,AO
1673929728,CMO,AO
3959848906,CMO,AO
1894500964,CMO,AO
2750388375,CMO,AO
2243421845,CMO,AO
1763039882,CMO,AO
1984790121,CMO,AO
2886538039,CMO,AO
3108088650,CMO,AO
4158079725,CMO,AO
3458462750,CMO,AO
984645669,CMO,AO
3731189145,CMO,AO
1733408873,CMO,AO
3693281945,CMO,AO
2630846570,CMO,AO
2837433171,CMO,AO
1007972607,CMO,AO
1560966543,CMO,AO
3070845862,CMO,AO
1652297523,CMO,AO
937312744,CMO,AO
526931360,CMO,AO
104842833,CMO,AO
675244565,CMO,AO
1166320637,CMO,AO
1344648024,CMO,AO
377595012,CMO,AO
878025469,CMO,AO
3667932143,CMO,AO
208700189,CMO,AO
3071258557,CMO,AO
2588534728,CMO,AO
2374479289,CMO,AO
2298370864,CMO,AO
872236447,CMO,AO
1623956109,CMO,AO
3176046428,CMO,AO
2959020719,CMO,AO
4269306709,CMO,AO
3090881544,CMO,AO
3769274007,CMO,AO
3951101151,CMO,AO
3138485898,CMO,AO
1492637286,CMO,AO
3530474760,CMO,AO
704267752,CMO,AO
2061203744,CMO,AO
1513807194,CMO,AO
29010223,CMO,AO
2957157133,CMO,AO
865808966,CMO,AO
3992847883,CMO,AO
877433266,CMO,AO
3440817363,CMO,AO
2470166449,CMO,AO
1975320403,CMO,AO
2158645421,CMO,AO
3865362884,CMO,AO
4194552419,CMO,AO
2621456029,CMO,AO
2999951574,CMO,AO
2276659227,CMO,AO
1788181996,CMO,AO
1478769689,CMO,AO
4275299504,CMO,AO
3873302107,CMO,AO
642110900,CMO,AO
3982354473,CMO,AO
2074148973,CMO,AO
980543790,CMO,AO
2994355752,CMO,AO
2917583562,CMO,AO
2462514942,CMO,AO
2806088124,CMO,AO
2831310002,CMO,AO
683614308,CMO,AO
1979725629,CMO,AO
3000604247,CMO,AO
825283804,CMO,AO
2156893428,CMO,AO
1394528962,CMO,AO
1966564118,CMO,AO
3692402181,CMO,AO
1876024106,CMO,AO
2202682285,CMO,AO
1747424092,CMO,AO
1529950858,CMO,AO
1559111975,CMO,AO
3543039215,CMO,AO
1067542540,CMO,AO
545162621,CMO,AO
494168364,CMO,AO
3776613575,CMO,AO
2064256206,CMO,AO
212370607,CMO,AO
2876372067,CMO,AO
2729795918,CMO,AO
2072448752,CMO,AO
1151162179,CMO,AO
1834443838,CMO,AO
3136196020,CMO,AO
2234933260,CMO,AO
1219609434,CMO,AO
3533447952,CMO,AO
337577418,CMO,AO
3983041777,CMO,AO
652524396,CMO,AO
3944478550,CMO,AO
2841134106,CMO,AO
778294982,CMO,AO
3824217283,CMO,AO
930758804,CMO,AO
1244492305,CMO,AO
2195969803,CMO,AO
2167422545,CMO,AO
3432335355,CMO,AO
104316636,CMO,AO
1527460438,CMO,AO
3134646646,CMO,AO
58845833,CMO,AO
3354918495,CMO,AO
2876068538,CMO,AO
3767658050,CMO,AO
3246844739,CMO,AO
146571889,CMO,AO
1494768305,CMO,AO
3911793747,CMO,AO
11371857,CMO,AO
68417682,CMO,AO
3418207498,CMO,AO
2841174232,CMO,AO
2118477733,CMO,AO
2752679908,CMO,AO
396556520,CMO,AO
4109754296,CMO,AO
2579971925,CMO,AO
840638414,CMO,AO
3440294269,CMO,AO
957765668,CMO,AO
2478260891,CMO,AO
1708951823,CMO,AO
369519632,CMO,AO
3729963859,CMO,AO
366270500,CMO,AO
2525321562,CMO,AO
1743502941,CMO,AO
1494896470,CMO,AO
2609765389,CMO,AO
34412968,CMO,AO
